full_webcnp_(January_2020),Definition,Test,Field Type,Notes
PCET_A.PCET_TRIAL000132_TRIAL,Trial Position/Order of Question ID,PCET,integer,0-144 | Null
PCET_A.PCET_TRIAL000132_QID,Trial Question ID,PCET,integer,0-144 | Null
PCET_A.PCET_TRIAL000132_CORR,"Trial Score (Correct = 1, Incorrect = 0)",PCET,integer,0 | 1 | Null
PCET_A.PCET_TRIAL000133_RESP,Trial Reponse,PCET,integer,0 | 1 | 12 | 13 | 2 | 23 | 3 | 4 |Null
PCET_A.PCET_TRIAL000133_TTR,Trial Reponse Time (ms),PCET,integer/null,Number-variant | Null
PCET_A.PCET_TRIAL000133_TRIAL,Trial Position/Order of Question ID,PCET,integer,0-144 | Null
PCET_A.PCET_TRIAL000133_QID,Trial Question ID,PCET,integer,0-144 | Null
PCET_A.PCET_TRIAL000133_CORR,"Trial Score (Correct = 1, Incorrect = 0)",PCET,integer,0 | 1 | Null
PCET_A.PCET_TRIAL000134_RESP,Trial Reponse,PCET,integer,0 | 1 | 12 | 13 | 2 | 23 | 3 | 4 |Null
PCET_A.PCET_TRIAL000134_TTR,Trial Reponse Time (ms),PCET,integer/null,Number-variant | Null
PCET_A.PCET_TRIAL000134_TRIAL,Trial Position/Order of Question ID,PCET,integer,0-144 | Null
PCET_A.PCET_TRIAL000134_QID,Trial Question ID,PCET,integer,0-144 | Null
PCET_A.PCET_TRIAL000134_CORR,"Trial Score (Correct = 1, Incorrect = 0)",PCET,integer,0 | 1 | Null
PCET_A.PCET_TRIAL000135_RESP,Trial Reponse,PCET,integer,0 | 1 | 12 | 13 | 2 | 23 | 3 | 4 |Null
PCET_A.PCET_TRIAL000135_TTR,Trial Reponse Time (ms),PCET,integer/null,Number-variant | Null
PCET_A.PCET_TRIAL000135_TRIAL,Trial Position/Order of Question ID,PCET,integer,0-144 | Null
PCET_A.PCET_TRIAL000135_QID,Trial Question ID,PCET,integer,0-144 | Null
PCET_A.PCET_TRIAL000135_CORR,"Trial Score (Correct = 1, Incorrect = 0)",PCET,integer,0 | 1 | Null
PCET_A.PCET_TRIAL000136_RESP,Trial Reponse,PCET,integer,0 | 1 | 12 | 13 | 2 | 23 | 3 | 4 |Null
PCET_A.PCET_TRIAL000136_TTR,Trial Reponse Time (ms),PCET,integer/null,Number-variant | Null
PCET_A.PCET_TRIAL000136_TRIAL,Trial Position/Order of Question ID,PCET,integer,0-144 | Null
PCET_A.PCET_TRIAL000136_QID,Trial Question ID,PCET,integer,0-144 | Null
PCET_A.PCET_TRIAL000136_CORR,"Trial Score (Correct = 1, Incorrect = 0)",PCET,integer,0 | 1 | Null
PCET_A.PCET_TRIAL000137_RESP,Trial Reponse,PCET,integer,0 | 1 | 12 | 13 | 2 | 23 | 3 | 4 |Null
PCET_A.PCET_TRIAL000137_TTR,Trial Reponse Time (ms),PCET,integer/null,Number-variant | Null
PCET_A.PCET_TRIAL000137_TRIAL,Trial Position/Order of Question ID,PCET,integer,0-144 | Null
PCET_A.PCET_TRIAL000137_QID,Trial Question ID,PCET,integer,0-144 | Null
PCET_A.PCET_TRIAL000137_CORR,"Trial Score (Correct = 1, Incorrect = 0)",PCET,integer,0 | 1 | Null
PCET_A.PCET_TRIAL000138_RESP,Trial Reponse,PCET,integer,0 | 1 | 12 | 13 | 2 | 23 | 3 | 4 |Null
PCET_A.PCET_TRIAL000138_TTR,Trial Reponse Time (ms),PCET,integer/null,Number-variant | Null
PCET_A.PCET_TRIAL000138_TRIAL,Trial Position/Order of Question ID,PCET,integer,0-144 | Null
PCET_A.PCET_TRIAL000138_QID,Trial Question ID,PCET,integer,0-144 | Null
PCET_A.PCET_TRIAL000138_CORR,"Trial Score (Correct = 1, Incorrect = 0)",PCET,integer,0 | 1 | Null
PCET_A.PCET_TRIAL000139_RESP,Trial Reponse,PCET,integer,0 | 1 | 12 | 13 | 2 | 23 | 3 | 4 |Null
PCET_A.PCET_TRIAL000139_TTR,Trial Reponse Time (ms),PCET,integer/null,Number-variant | Null
PCET_A.PCET_TRIAL000139_TRIAL,Trial Position/Order of Question ID,PCET,integer,0-144 | Null
PCET_A.PCET_TRIAL000139_QID,Trial Question ID,PCET,integer,0-144 | Null
PCET_A.PCET_TRIAL000139_CORR,"Trial Score (Correct = 1, Incorrect = 0)",PCET,integer,0 | 1 | Null
PCET_A.PCET_TRIAL000140_RESP,Trial Reponse,PCET,integer,0 | 1 | 12 | 13 | 2 | 23 | 3 | 4 |Null
PCET_A.PCET_TRIAL000140_TTR,Trial Reponse Time (ms),PCET,integer/null,Number-variant | Null
PCET_A.PCET_TRIAL000140_TRIAL,Trial Position/Order of Question ID,PCET,integer,0-144 | Null
PCET_A.PCET_TRIAL000140_QID,Trial Question ID,PCET,integer,0-144 | Null
PCET_A.PCET_TRIAL000140_CORR,"Trial Score (Correct = 1, Incorrect = 0)",PCET,integer,0 | 1 | Null
PCET_A.PCET_TRIAL000141_RESP,Trial Reponse,PCET,integer,0 | 1 | 12 | 13 | 2 | 23 | 3 | 4 |Null
PCET_A.PCET_TRIAL000141_TTR,Trial Reponse Time (ms),PCET,integer/null,Number-variant | Null
PCET_A.PCET_TRIAL000141_TRIAL,Trial Position/Order of Question ID,PCET,integer,0-144 | Null
PCET_A.PCET_TRIAL000141_QID,Trial Question ID,PCET,integer,0-144 | Null
PCET_A.PCET_TRIAL000141_CORR,"Trial Score (Correct = 1, Incorrect = 0)",PCET,integer,0 | 1 | Null
PCET_A.PCET_TRIAL000142_RESP,Trial Reponse,PCET,integer,0 | 1 | 12 | 13 | 2 | 23 | 3 | 4 |Null
PCET_A.PCET_TRIAL000142_TTR,Trial Reponse Time (ms),PCET,integer/null,Number-variant | Null
PCET_A.PCET_TRIAL000142_TRIAL,Trial Position/Order of Question ID,PCET,integer,0-144 | Null
PCET_A.PCET_TRIAL000142_QID,Trial Question ID,PCET,integer,0-144 | Null
PCET_A.PCET_TRIAL000142_CORR,"Trial Score (Correct = 1, Incorrect = 0)",PCET,integer,0 | 1 | Null
PCET_A.PCET_TRIAL000143_RESP,Trial Reponse,PCET,integer,0 | 1 | 12 | 13 | 2 | 23 | 3 | 4 |Null
PCET_A.PCET_TRIAL000143_TTR,Trial Reponse Time (ms),PCET,integer/null,Number-variant | Null
PCET_A.PCET_TRIAL000143_TRIAL,Trial Position/Order of Question ID,PCET,integer,0-144 | Null
PCET_A.PCET_TRIAL000143_QID,Trial Question ID,PCET,integer,0-144 | Null
PCET_A.PCET_TRIAL000143_CORR,"Trial Score (Correct = 1, Incorrect = 0)",PCET,integer,0 | 1 | Null
PCET_A.PCET_TRIAL000144_RESP,Trial Reponse,PCET,integer,0 | 1 | 12 | 13 | 2 | 23 | 3 | 4 |Null
PCET_A.PCET_TRIAL000144_TTR,Trial Reponse Time (ms),PCET,integer/null,Number-variant | Null
PCET_A.PCET_TRIAL000144_TRIAL,Trial Position/Order of Question ID,PCET,integer,0-144 | Null
PCET_A.PCET_TRIAL000144_QID,Trial Question ID,PCET,integer,0-144 | Null
PCET_A.PCET_TRIAL000144_CORR,"Trial Score (Correct = 1, Incorrect = 0)",PCET,integer,0 | 1 | Null
SLNB12_60.SLNB2_QID000001_RESP,Trial Reponse,SLNB12,integer,0 | 1 | Null
SLNB12_60.SLNB2_QID000001_TTR,Trial Reponse Time (ms),SLNB12,integer/null,Number-variant | Null
SLNB12_60.SLNB2_QID000001_TRIAL,Trial Position/Order of Question ID,SLNB12,integer,0-60 | Null
SLNB12_60.SLNB2_QID000001_QID,Trial Question ID,SLNB12,integer,0-60 | Null
SLNB12_60.SLNB2_QID000001_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SLNB12,integer,0 | 1 | Null
SLNB12_60.SLNB2_QID000002_RESP,Trial Reponse,SLNB12,integer,0 | 1 | Null
SLNB12_60.SLNB2_QID000002_TTR,Trial Reponse Time (ms),SLNB12,integer/null,Number-variant | Null
SLNB12_60.SLNB2_QID000002_TRIAL,Trial Position/Order of Question ID,SLNB12,integer,0-60 | Null
SLNB12_60.SLNB2_QID000002_QID,Trial Question ID,SLNB12,integer,0-60 | Null
SLNB12_60.SLNB2_QID000002_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SLNB12,integer,0 | 1 | Null
SLNB12_60.SLNB2_QID000003_RESP,Trial Reponse,SLNB12,integer,0 | 1 | Null
SLNB12_60.SLNB2_QID000003_TTR,Trial Reponse Time (ms),SLNB12,integer/null,Number-variant | Null
SLNB12_60.SLNB2_QID000003_TRIAL,Trial Position/Order of Question ID,SLNB12,integer,0-60 | Null
SLNB12_60.SLNB2_QID000003_QID,Trial Question ID,SLNB12,integer,0-60 | Null
SLNB12_60.SLNB2_QID000003_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SLNB12,integer,0 | 1 | Null
SLNB12_60.SLNB2_QID000004_RESP,Trial Reponse,SLNB12,integer,0 | 1 | Null
SLNB12_60.SLNB2_QID000004_TTR,Trial Reponse Time (ms),SLNB12,integer/null,Number-variant | Null
SLNB12_60.SLNB2_QID000004_TRIAL,Trial Position/Order of Question ID,SLNB12,integer,0-60 | Null
SLNB12_60.SLNB2_QID000004_QID,Trial Question ID,SLNB12,integer,0-60 | Null
SLNB12_60.SLNB2_QID000004_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SLNB12,integer,0 | 1 | Null
SLNB12_60.SLNB2_QID000005_RESP,Trial Reponse,SLNB12,integer,0 | 1 | Null
SLNB12_60.SLNB2_QID000005_TTR,Trial Reponse Time (ms),SLNB12,integer/null,Number-variant | Null
SLNB12_60.SLNB2_QID000005_TRIAL,Trial Position/Order of Question ID,SLNB12,integer,0-60 | Null
SLNB12_60.SLNB2_QID000005_QID,Trial Question ID,SLNB12,integer,0-60 | Null
SLNB12_60.SLNB2_QID000005_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SLNB12,integer,0 | 1 | Null
SLNB12_60.SLNB2_QID000006_RESP,Trial Reponse,SLNB12,integer,0 | 1 | Null
SLNB12_60.SLNB2_QID000006_TTR,Trial Reponse Time (ms),SLNB12,integer/null,Number-variant | Null
SLNB12_60.SLNB2_QID000006_TRIAL,Trial Position/Order of Question ID,SLNB12,integer,0-60 | Null
SLNB12_60.SLNB2_QID000006_QID,Trial Question ID,SLNB12,integer,0-60 | Null
SLNB12_60.SLNB2_QID000006_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SLNB12,integer,0 | 1 | Null
SLNB12_60.SLNB2_QID000007_RESP,Trial Reponse,SLNB12,integer,0 | 1 | Null
SLNB12_60.SLNB2_QID000007_TTR,Trial Reponse Time (ms),SLNB12,integer/null,Number-variant | Null
SLNB12_60.SLNB2_QID000007_TRIAL,Trial Position/Order of Question ID,SLNB12,integer,0-60 | Null
SLNB12_60.SLNB2_QID000007_QID,Trial Question ID,SLNB12,integer,0-60 | Null
SLNB12_60.SLNB2_QID000007_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SLNB12,integer,0 | 1 | Null
SLNB12_60.SLNB2_QID000008_RESP,Trial Reponse,SLNB12,integer,0 | 1 | Null
SLNB12_60.SLNB2_QID000008_TTR,Trial Reponse Time (ms),SLNB12,integer/null,Number-variant | Null
SLNB12_60.SLNB2_QID000008_TRIAL,Trial Position/Order of Question ID,SLNB12,integer,0-60 | Null
SLNB12_60.SLNB2_QID000008_QID,Trial Question ID,SLNB12,integer,0-60 | Null
SLNB12_60.SLNB2_QID000008_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SLNB12,integer,0 | 1 | Null
SLNB12_60.SLNB2_QID000009_RESP,Trial Reponse,SLNB12,integer,0 | 1 | Null
SLNB12_60.SLNB2_QID000009_TTR,Trial Reponse Time (ms),SLNB12,integer/null,Number-variant | Null
SLNB12_60.SLNB2_QID000009_TRIAL,Trial Position/Order of Question ID,SLNB12,integer,0-60 | Null
SLNB12_60.SLNB2_QID000009_QID,Trial Question ID,SLNB12,integer,0-60 | Null
SLNB12_60.SLNB2_QID000009_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SLNB12,integer,0 | 1 | Null
SLNB12_60.SLNB2_QID000010_RESP,Trial Reponse,SLNB12,integer,0 | 1 | Null
SLNB12_60.SLNB2_QID000010_TTR,Trial Reponse Time (ms),SLNB12,integer/null,Number-variant | Null
SLNB12_60.SLNB2_QID000010_TRIAL,Trial Position/Order of Question ID,SLNB12,integer,0-60 | Null
SLNB12_60.SLNB2_QID000010_QID,Trial Question ID,SLNB12,integer,0-60 | Null
SLNB12_60.SLNB2_QID000010_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SLNB12,integer,0 | 1 | Null
SLNB12_60.SLNB2_QID000011_RESP,Trial Reponse,SLNB12,integer,0 | 1 | Null
SLNB12_60.SLNB2_QID000011_TTR,Trial Reponse Time (ms),SLNB12,integer/null,Number-variant | Null
SLNB12_60.SLNB2_QID000011_TRIAL,Trial Position/Order of Question ID,SLNB12,integer,0-60 | Null
SLNB12_60.SLNB2_QID000011_QID,Trial Question ID,SLNB12,integer,0-60 | Null
SLNB12_60.SLNB2_QID000011_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SLNB12,integer,0 | 1 | Null
SLNB12_60.SLNB2_QID000012_RESP,Trial Reponse,SLNB12,integer,0 | 1 | Null
SLNB12_60.SLNB2_QID000012_TTR,Trial Reponse Time (ms),SLNB12,integer/null,Number-variant | Null
SLNB12_60.SLNB2_QID000012_TRIAL,Trial Position/Order of Question ID,SLNB12,integer,0-60 | Null
SLNB12_60.SLNB2_QID000012_QID,Trial Question ID,SLNB12,integer,0-60 | Null
SLNB12_60.SLNB2_QID000012_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SLNB12,integer,0 | 1 | Null
SLNB12_60.SLNB2_QID000013_RESP,Trial Reponse,SLNB12,integer,0 | 1 | Null
SLNB12_60.SLNB2_QID000013_TTR,Trial Reponse Time (ms),SLNB12,integer/null,Number-variant | Null
SLNB12_60.SLNB2_QID000013_TRIAL,Trial Position/Order of Question ID,SLNB12,integer,0-60 | Null
SLNB12_60.SLNB2_QID000013_QID,Trial Question ID,SLNB12,integer,0-60 | Null
SLNB12_60.SLNB2_QID000013_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SLNB12,integer,0 | 1 | Null
SLNB12_60.SLNB2_QID000014_RESP,Trial Reponse,SLNB12,integer,0 | 1 | Null
SLNB12_60.SLNB2_QID000014_TTR,Trial Reponse Time (ms),SLNB12,integer/null,Number-variant | Null
SLNB12_60.SLNB2_QID000014_TRIAL,Trial Position/Order of Question ID,SLNB12,integer,0-60 | Null
SLNB12_60.SLNB2_QID000014_QID,Trial Question ID,SLNB12,integer,0-60 | Null
SLNB12_60.SLNB2_QID000014_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SLNB12,integer,0 | 1 | Null
SLNB12_60.SLNB2_QID000015_RESP,Trial Reponse,SLNB12,integer,0 | 1 | Null
SLNB12_60.SLNB2_QID000015_TTR,Trial Reponse Time (ms),SLNB12,integer/null,Number-variant | Null
SLNB12_60.SLNB2_QID000015_TRIAL,Trial Position/Order of Question ID,SLNB12,integer,0-60 | Null
SLNB12_60.SLNB2_QID000015_QID,Trial Question ID,SLNB12,integer,0-60 | Null
SLNB12_60.SLNB2_QID000015_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SLNB12,integer,0 | 1 | Null
SLNB12_60.SLNB2_QID000016_RESP,Trial Reponse,SLNB12,integer,0 | 1 | Null
SLNB12_60.SLNB2_QID000016_TTR,Trial Reponse Time (ms),SLNB12,integer/null,Number-variant | Null
SLNB12_60.SLNB2_QID000016_TRIAL,Trial Position/Order of Question ID,SLNB12,integer,0-60 | Null
SLNB12_60.SLNB2_QID000016_QID,Trial Question ID,SLNB12,integer,0-60 | Null
SLNB12_60.SLNB2_QID000016_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SLNB12,integer,0 | 1 | Null
SLNB12_60.SLNB2_QID000017_RESP,Trial Reponse,SLNB12,integer,0 | 1 | Null
SLNB12_60.SLNB2_QID000017_TTR,Trial Reponse Time (ms),SLNB12,integer/null,Number-variant | Null
SLNB12_60.SLNB2_QID000017_TRIAL,Trial Position/Order of Question ID,SLNB12,integer,0-60 | Null
SLNB12_60.SLNB2_QID000017_QID,Trial Question ID,SLNB12,integer,0-60 | Null
SLNB12_60.SLNB2_QID000017_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SLNB12,integer,0 | 1 | Null
SLNB12_60.SLNB2_QID000018_RESP,Trial Reponse,SLNB12,integer,0 | 1 | Null
SLNB12_60.SLNB2_QID000018_TTR,Trial Reponse Time (ms),SLNB12,integer/null,Number-variant | Null
SLNB12_60.SLNB2_QID000018_TRIAL,Trial Position/Order of Question ID,SLNB12,integer,0-60 | Null
SLNB12_60.SLNB2_QID000018_QID,Trial Question ID,SLNB12,integer,0-60 | Null
SLNB12_60.SLNB2_QID000018_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SLNB12,integer,0 | 1 | Null
SLNB12_60.SLNB2_QID000019_RESP,Trial Reponse,SLNB12,integer,0 | 1 | Null
SLNB12_60.SLNB2_QID000019_TTR,Trial Reponse Time (ms),SLNB12,integer/null,Number-variant | Null
SLNB12_60.SLNB2_QID000019_TRIAL,Trial Position/Order of Question ID,SLNB12,integer,0-60 | Null
SLNB12_60.SLNB2_QID000019_QID,Trial Question ID,SLNB12,integer,0-60 | Null
SLNB12_60.SLNB2_QID000019_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SLNB12,integer,0 | 1 | Null
SLNB12_60.SLNB2_QID000020_RESP,Trial Reponse,SLNB12,integer,0 | 1 | Null
SLNB12_60.SLNB2_QID000020_TTR,Trial Reponse Time (ms),SLNB12,integer/null,Number-variant | Null
SLNB12_60.SLNB2_QID000020_TRIAL,Trial Position/Order of Question ID,SLNB12,integer,0-60 | Null
SLNB12_60.SLNB2_QID000020_QID,Trial Question ID,SLNB12,integer,0-60 | Null
SLNB12_60.SLNB2_QID000020_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SLNB12,integer,0 | 1 | Null
SLNB12_60.SLNB2_QID000021_RESP,Trial Reponse,SLNB12,integer,0 | 1 | Null
SLNB12_60.SLNB2_QID000021_TTR,Trial Reponse Time (ms),SLNB12,integer/null,Number-variant | Null
SLNB12_60.SLNB2_QID000021_TRIAL,Trial Position/Order of Question ID,SLNB12,integer,0-60 | Null
SLNB12_60.SLNB2_QID000021_QID,Trial Question ID,SLNB12,integer,0-60 | Null
SLNB12_60.SLNB2_QID000021_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SLNB12,integer,0 | 1 | Null
SLNB12_60.SLNB2_QID000022_RESP,Trial Reponse,SLNB12,integer,0 | 1 | Null
SLNB12_60.SLNB2_QID000022_TTR,Trial Reponse Time (ms),SLNB12,integer/null,Number-variant | Null
SLNB12_60.SLNB2_QID000022_TRIAL,Trial Position/Order of Question ID,SLNB12,integer,0-60 | Null
SLNB12_60.SLNB2_QID000022_QID,Trial Question ID,SLNB12,integer,0-60 | Null
SLNB12_60.SLNB2_QID000022_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SLNB12,integer,0 | 1 | Null
SLNB12_60.SLNB2_QID000023_RESP,Trial Reponse,SLNB12,integer,0 | 1 | Null
SLNB12_60.SLNB2_QID000023_TTR,Trial Reponse Time (ms),SLNB12,integer/null,Number-variant | Null
SLNB12_60.SLNB2_QID000023_TRIAL,Trial Position/Order of Question ID,SLNB12,integer,0-60 | Null
SLNB12_60.SLNB2_QID000023_QID,Trial Question ID,SLNB12,integer,0-60 | Null
SLNB12_60.SLNB2_QID000023_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SLNB12,integer,0 | 1 | Null
SLNB12_60.SLNB2_QID000024_RESP,Trial Reponse,SLNB12,integer,0 | 1 | Null
SLNB12_60.SLNB2_QID000024_TTR,Trial Reponse Time (ms),SLNB12,integer/null,Number-variant | Null
SLNB12_60.SLNB2_QID000024_TRIAL,Trial Position/Order of Question ID,SLNB12,integer,0-60 | Null
SLNB12_60.SLNB2_QID000024_QID,Trial Question ID,SLNB12,integer,0-60 | Null
SLNB12_60.SLNB2_QID000024_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SLNB12,integer,0 | 1 | Null
SLNB12_60.SLNB2_QID000025_RESP,Trial Reponse,SLNB12,integer,0 | 1 | Null
SLNB12_60.SLNB2_QID000025_TTR,Trial Reponse Time (ms),SLNB12,integer/null,Number-variant | Null
SLNB12_60.SLNB2_QID000025_TRIAL,Trial Position/Order of Question ID,SLNB12,integer,0-60 | Null
SLNB12_60.SLNB2_QID000025_QID,Trial Question ID,SLNB12,integer,0-60 | Null
SLNB12_60.SLNB2_QID000025_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SLNB12,integer,0 | 1 | Null
SLNB12_60.SLNB2_QID000026_RESP,Trial Reponse,SLNB12,integer,0 | 1 | Null
SLNB12_60.SLNB2_QID000026_TTR,Trial Reponse Time (ms),SLNB12,integer/null,Number-variant | Null
SLNB12_60.SLNB2_QID000026_TRIAL,Trial Position/Order of Question ID,SLNB12,integer,0-60 | Null
SLNB12_60.SLNB2_QID000026_QID,Trial Question ID,SLNB12,integer,0-60 | Null
SLNB12_60.SLNB2_QID000026_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SLNB12,integer,0 | 1 | Null
SLNB12_60.SLNB2_QID000027_RESP,Trial Reponse,SLNB12,integer,0 | 1 | Null
SLNB12_60.SLNB2_QID000027_TTR,Trial Reponse Time (ms),SLNB12,integer/null,Number-variant | Null
SLNB12_60.SLNB2_QID000027_TRIAL,Trial Position/Order of Question ID,SLNB12,integer,0-60 | Null
SLNB12_60.SLNB2_QID000027_QID,Trial Question ID,SLNB12,integer,0-60 | Null
SLNB12_60.SLNB2_QID000027_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SLNB12,integer,0 | 1 | Null
SLNB12_60.SLNB2_QID000028_RESP,Trial Reponse,SLNB12,integer,0 | 1 | Null
SLNB12_60.SLNB2_QID000028_TTR,Trial Reponse Time (ms),SLNB12,integer/null,Number-variant | Null
SLNB12_60.SLNB2_QID000028_TRIAL,Trial Position/Order of Question ID,SLNB12,integer,0-60 | Null
SLNB12_60.SLNB2_QID000028_QID,Trial Question ID,SLNB12,integer,0-60 | Null
SLNB12_60.SLNB2_QID000028_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SLNB12,integer,0 | 1 | Null
SLNB12_60.SLNB2_QID000029_RESP,Trial Reponse,SLNB12,integer,0 | 1 | Null
SLNB12_60.SLNB2_QID000029_TTR,Trial Reponse Time (ms),SLNB12,integer/null,Number-variant | Null
SLNB12_60.SLNB2_QID000029_TRIAL,Trial Position/Order of Question ID,SLNB12,integer,0-60 | Null
SLNB12_60.SLNB2_QID000029_QID,Trial Question ID,SLNB12,integer,0-60 | Null
SLNB12_60.SLNB2_QID000029_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SLNB12,integer,0 | 1 | Null
SLNB12_60.SLNB2_QID000030_RESP,Trial Reponse,SLNB12,integer,0 | 1 | Null
SLNB12_60.SLNB2_QID000030_TTR,Trial Reponse Time (ms),SLNB12,integer/null,Number-variant | Null
SLNB12_60.SLNB2_QID000030_TRIAL,Trial Position/Order of Question ID,SLNB12,integer,0-60 | Null
SLNB12_60.SLNB2_QID000030_QID,Trial Question ID,SLNB12,integer,0-60 | Null
SLNB12_60.SLNB2_QID000030_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SLNB12,integer,0 | 1 | Null
SLNB12_60.SLNB2_QID000031_RESP,Trial Reponse,SLNB12,integer,0 | 1 | Null
SLNB12_60.SLNB2_QID000031_TTR,Trial Reponse Time (ms),SLNB12,integer/null,Number-variant | Null
SLNB12_60.SLNB2_QID000031_TRIAL,Trial Position/Order of Question ID,SLNB12,integer,0-60 | Null
SLNB12_60.SLNB2_QID000031_QID,Trial Question ID,SLNB12,integer,0-60 | Null
SLNB12_60.SLNB2_QID000031_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SLNB12,integer,0 | 1 | Null
SLNB12_60.SLNB2_QID000032_RESP,Trial Reponse,SLNB12,integer,0 | 1 | Null
SLNB12_60.SLNB2_QID000032_TTR,Trial Reponse Time (ms),SLNB12,integer/null,Number-variant | Null
SLNB12_60.SLNB2_QID000032_TRIAL,Trial Position/Order of Question ID,SLNB12,integer,0-60 | Null
SLNB12_60.SLNB2_QID000032_QID,Trial Question ID,SLNB12,integer,0-60 | Null
SLNB12_60.SLNB2_QID000032_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SLNB12,integer,0 | 1 | Null
SLNB12_60.SLNB2_QID000033_RESP,Trial Reponse,SLNB12,integer,0 | 1 | Null
SLNB12_60.SLNB2_QID000033_TTR,Trial Reponse Time (ms),SLNB12,integer/null,Number-variant | Null
SLNB12_60.SLNB2_QID000033_TRIAL,Trial Position/Order of Question ID,SLNB12,integer,0-60 | Null
SLNB12_60.SLNB2_QID000033_QID,Trial Question ID,SLNB12,integer,0-60 | Null
SLNB12_60.SLNB2_QID000033_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SLNB12,integer,0 | 1 | Null
SLNB12_60.SLNB2_QID000034_RESP,Trial Reponse,SLNB12,integer,0 | 1 | Null
SLNB12_60.SLNB2_QID000034_TTR,Trial Reponse Time (ms),SLNB12,integer/null,Number-variant | Null
SLNB12_60.SLNB2_QID000034_TRIAL,Trial Position/Order of Question ID,SLNB12,integer,0-60 | Null
SLNB12_60.SLNB2_QID000034_QID,Trial Question ID,SLNB12,integer,0-60 | Null
SLNB12_60.SLNB2_QID000034_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SLNB12,integer,0 | 1 | Null
SLNB12_60.SLNB2_QID000035_RESP,Trial Reponse,SLNB12,integer,0 | 1 | Null
SLNB12_60.SLNB2_QID000035_TTR,Trial Reponse Time (ms),SLNB12,integer/null,Number-variant | Null
SLNB12_60.SLNB2_QID000035_TRIAL,Trial Position/Order of Question ID,SLNB12,integer,0-60 | Null
SLNB12_60.SLNB2_QID000035_QID,Trial Question ID,SLNB12,integer,0-60 | Null
SLNB12_60.SLNB2_QID000035_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SLNB12,integer,0 | 1 | Null
SLNB12_60.SLNB2_QID000036_RESP,Trial Reponse,SLNB12,integer,0 | 1 | Null
SLNB12_60.SLNB2_QID000036_TTR,Trial Reponse Time (ms),SLNB12,integer/null,Number-variant | Null
SLNB12_60.SLNB2_QID000036_TRIAL,Trial Position/Order of Question ID,SLNB12,integer,0-60 | Null
SLNB12_60.SLNB2_QID000036_QID,Trial Question ID,SLNB12,integer,0-60 | Null
SLNB12_60.SLNB2_QID000036_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SLNB12,integer,0 | 1 | Null
SLNB12_60.SLNB2_QID000037_RESP,Trial Reponse,SLNB12,integer,0 | 1 | Null
SLNB12_60.SLNB2_QID000037_TTR,Trial Reponse Time (ms),SLNB12,integer/null,Number-variant | Null
SLNB12_60.SLNB2_QID000037_TRIAL,Trial Position/Order of Question ID,SLNB12,integer,0-60 | Null
SLNB12_60.SLNB2_QID000037_QID,Trial Question ID,SLNB12,integer,0-60 | Null
SLNB12_60.SLNB2_QID000037_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SLNB12,integer,0 | 1 | Null
SLNB12_60.SLNB2_QID000038_RESP,Trial Reponse,SLNB12,integer,0 | 1 | Null
SLNB12_60.SLNB2_QID000038_TTR,Trial Reponse Time (ms),SLNB12,integer/null,Number-variant | Null
SLNB12_60.SLNB2_QID000038_TRIAL,Trial Position/Order of Question ID,SLNB12,integer,0-60 | Null
SLNB12_60.SLNB2_QID000038_QID,Trial Question ID,SLNB12,integer,0-60 | Null
